domain_ar,program_name_ar,specialization_ar,program_code,institution_ar,university_ar,bac_type_ar,formula_T,cutoff_2024
,الاطلاع على الصيغة الاجمالية (FG) والترت يب,,,,,,الاطلاععلىالصيغةالاجمالية(FG)والترتيب,
,كلية العلوم الإنسانية والاجتماعية بتونس (جامعة تونس (,,,,,,FG+A,97.875
,3 سنوات (امد),,,,,,FG+A,
,علوم تجريبية,,,,,علوم تجريبية,FG+A,130.941
,إقتصاد وتصرف,,,,,,FG+A,73.875
,علوم الإعلامية,,,,,علوم الإعلامية,FG+A,98.189
,كلية الآداب والفنون والإنسانيات بمنوبة (جامعة منوبة (,,,,,,FG+A,95.241
,رياضيات,,,,,,FG+A,
,علوم تجريبية,,,,,علوم تجريبية,FG+A,124.842
,إقتصاد وتصرف,,,,,,FG+A,80.197
,علوم الإعلامية,,,,,علوم الإعلامية,FG+A,107.011
,المعهد العالي للعلوم الإنسانية بتونس (جامعة تونس المنار(,,,,,,FG+A,98.497
,علوم تجريبية,,,,,علوم تجريبية,FG+A,124.029
,إقتصاد وتصرف,,,,,,FG+A,96.76
,علوم الإعلامية,,,,,علوم الإعلامية,FG+A,104.074
,المعهد العالي للغات بتونس (جامعة قرطاج(,,,,,,FG+A,92.613
,علوم تجريبية,,,,,علوم تجريبية,FG+A,119.771
,إقتصاد وتصرف,,,,,,FG+A,93.659
,علوم الإعلامية,,,,,علوم الإعلامية,FG+A,93.165
,المعهد العالي للغات بنابل (جامعة قرطاج(,,,,,,FG+A,99.937
,علوم تجريبية,,,,,علوم تجريبية,FG+A,109.603
,إقتصاد وتصرف,,,,,,FG+A,88.445
,علوم الإعلامية,,,,,علوم الإعلامية,FG+A,107.029
,كلية الآداب والعلوم الإنسانية بسوسة (جامعة سوسة(,,,,,,FG+A,100.238
,رياضيات,,,,,,FG+A,108.289
,علوم تجريبية,,,,,علوم تجريبية,FG+A,101.944
,إقتصاد وتصرف,,,,,,FG+A,78.853
,علوم الإعلامية,,,,,علوم الإعلامية,FG+A,134.28
,كلية الآداب والعلوم الإنسانية بصفاقس (جامعة صفاقس(,,40101,,,,FG+A,92.435
,علوم تجريبية,,,,,علوم تجريبية,FG+A,120.006
,إقتصاد وتصرف,,,,,,FG+A,81.705
,علوم الإعلامية,,,,,علوم الإعلامية,FG+A,
